INFO: Connected
[$SYS/brokers/connected] {"username":"(null)", "ts":1719558551474,"proto_name":"MQTT","keepalive":60,"return_code":"0","proto_ver":4,"client_id":"tedge-agent#te/device/main//","clean_start":0, "IPv4":"127.0.0.1"}
[te/device/main///cmd/restart] {}
[te/device/main/service/tedge-agent] {"@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent/status/health] {"pid":823,"status":"up","time":1719558551.4761915}
[te/device/main///cmd/config_snapshot] {"types":["tedge-configuration-plugin","tedge-log-plugin","tedge.toml"]}
[te/device/main///cmd/config_update] {"types":["tedge-configuration-plugin","tedge-log-plugin","tedge.toml"]}
[te/device/main///cmd/log_upload] {"types":["software-management"]}
[te/device/main///cmd/software_update] {"types":[]}
[te/device/main///cmd/software_list] {"types":[]}
[$SYS/brokers/connected] {"username":"(null)", "ts":1719558557939,"proto_name":"MQTT","keepalive":60,"return_code":"0","proto_ver":4,"client_id":"tedge-mapper-bridge-c8y","clean_start":0, "IPv4":"127.0.0.1"}
[$SYS/brokers/connected] {"username":"(null)", "ts":1719558557947,"proto_name":"MQTT","keepalive":60,"return_code":"0","proto_ver":4,"client_id":"tedge-mapper-c8y","clean_start":0, "IPv4":"127.0.0.1"}
[$SYS/brokers/connected] {"username":"(null)", "ts":1719558557947,"proto_name":"MQTT","keepalive":60,"return_code":"0","proto_ver":4,"client_id":"nnswvsctml","clean_start":1, "IPv4":"127.0.0.1"}
[$SYS/brokers/connected] {"username":"(null)", "ts":1719558557965,"proto_name":"MQTT","keepalive":60,"return_code":"0","proto_ver":4,"client_id":"last_will_c8y_mapper","clean_start":0, "IPv4":"127.0.0.1"}
[c8y/s/uat] 
[te/device/main/service/tedge-mapper-c8y] {"@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y/status/health] {"pid":834,"status":"up","time":1719558557.915745}
[c8y/inventory/managedObjects/update/tedge_container_ftw] {"c8y_Agent":{"name":"thin-edge.io","url":"https://thin-edge.io","version":"1.1.2~144+g0b497e6"}}
[te/device/main///twin/c8y_Agent] {"name":"thin-edge.io","url":"https://thin-edge.io","version":"1.1.2~144+g0b497e6"}
[c8y/s/us] 114,c8y_DownloadConfigFile,c8y_LogfileRequest,c8y_Restart,c8y_SoftwareUpdate,c8y_UploadConfigFile
[c8y/inventory/managedObjects/update/tedge_container_ftw] {"type":"thin-edge.io"}
[c8y/s/us] 500
[te/device/main/service/tedge-mapper-bridge-c8y/status/health] {"status":"up"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.215723503Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.215723503Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.215723503Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.251323936Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.259515889Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.225468223Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.241195014Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.23361426Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.270264635Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.278781291Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.215723503Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.215723503Z.log","status":"executing"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.354075925Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.251323936Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.251323936Z.log","status":"scheduled"}
